rep_id,omega,gamma,beta,alpha_loss,c,convergence,rmse,mae,runtime
161,0.07725054063281873,0.1220817802255329,0.8769181414104773,1.0094266566465846,0.9078336579950297,True,0.152301970253943,0.14264547131184646,50.447421073913574
162,0.13415200512866748,0.14133358876336247,0.7821177923776228,0.028524288158301957,0.780381067110326,True,0.1407721524473272,0.1299771404983069,114.9068489074707
163,0.17476741227735026,0.47926458669047,0.517940545558712,0.7478400911262201,0.9890706169520935,True,0.14295778253915817,0.11537583845908056,283.66751289367676
164,0.07316285854617191,0.11104669275710094,0.8680469816768787,0.9937252659580744,1.142345309973939,True,0.13596471868332302,0.13411901935615742,22.94125008583069
165,0.12886875487916818,0.23063495739656378,0.7683650086656979,0.31551808146949156,1.4019607135125902,True,0.14666432065530363,0.14456877234202523,180.78339791297913
166,0.07250474189244294,0.11218626914788335,0.867285958840184,1.0000635488228702,1.1284656771403534,True,0.12907081473396143,0.12694815583365898,21.053149223327637
167,0.09721454430066045,0.08669981385052983,0.7972104739966015,1.3453963841291874,0.64762584706629,True,0.1012905388006715,0.0736414341621118,177.01792812347412
168,0.07317422954581577,0.11227481695491992,0.8717328914583429,0.9865551035836105,1.1338913624870763,True,0.14248647243730564,0.14066535924736379,23.170428037643433
169,0.07506342611193129,0.12065773650101026,0.8783421975375987,1.0261597087803995,0.8790324380835448,True,0.13825037844965324,0.12699216095354302,43.587480783462524
170,0.05901915582712573,0.10243738240906547,0.8965626021481803,0.9084298002383837,1.6214734839965264,True,0.17295436165895103,0.1717857432481914,76.66773772239685
171,0.10974308804589042,0.22578812197470738,0.773211856889213,1.1626409387436027,1.7079532533944344,True,0.11363610721124492,0.1114673049425169,149.8266909122467
172,0.13220227870267048,0.10970228733675802,0.7318230209183123,1.170618043727262,0.8109458386978144,True,0.10202204024324468,0.09354814559923509,183.35861611366272
173,0.32641277249893064,0.5939654949804346,0.38318926978065226,0.41937001738185753,9.999986617623456,True,0.18518213060881122,0.17957988726866744,142.91025686264038
174,0.16700262961905238,0.445987501176373,0.5232933509171228,1.0779818776397885,1.0972768179189074,True,0.12028037711223302,0.09136316535497002,239.00533294677734
175,0.06752889748814736,0.11600123795398637,0.8829952728457107,1.036147340645903,1.0469087892710542,True,0.1309718916923005,0.12667676187985935,45.66411018371582
176,0.07324196000817558,0.11099119681116196,0.8693417930971588,0.9919430520491641,1.1451430758581764,True,0.1388268697528092,0.13718696472237674,24.070518016815186
177,0.07970735790531472,0.1022810593158336,0.8548788411225268,0.9144827763790998,1.3761453168236146,True,0.15468840354827967,0.15412916917486294,56.23484492301941
178,0.06223344113397252,0.08957434810230411,0.869253174928899,1.422356823037073,0.9251525518614581,True,0.0956942725432191,0.0820611088957428,109.47679305076599
179,0.06440139065056963,0.10895464069523011,0.8900444566138013,0.9716467024985971,1.2973816202539548,True,0.16325042217107896,0.16196568707301848,77.95074820518494
180,0.09534084897808906,0.09090835982823459,0.8267404779270142,0.7686996478866327,1.6088045946119283,True,0.17417556174610052,0.1727416755212967,55.00941014289856
181,0.0937446422329438,0.15737825842107506,0.8416216056324416,0.9104764823626273,0.7443782663580607,True,0.12809645626633348,0.09675578652813993,72.74258089065552
182,0.06694361162308429,0.11787086734745868,0.8811289815943575,1.0942584631391894,0.843720349238207,True,0.11424778147328908,0.09820732216423596,80.99235796928406
183,0.07199879533383292,0.1202037834490064,0.8787958504750338,1.0313128043562396,0.8199484363020639,True,0.11680980392817279,0.10124846771701508,65.46134519577026
184,0.05310960117791624,0.08716683515073372,0.9107912639180433,1.1594568527386357,1.1941192447905842,True,0.16571279151627596,0.1631815480515245,106.31599497795105
185,0.16796610473785256,0.121648906265553,0.7143429351609671,0.6209486047855413,0.6047865329337766,True,0.1327579453781257,0.11072009681307304,132.4195590019226
186,0.05974419066048424,0.09230940058853192,0.8866248193653166,1.301465144469266,0.5963333861259068,True,0.11883212041931511,0.07893063230275826,151.17230701446533
187,0.06599601648214377,0.11893675440032067,0.8800625944730636,1.0576538835831544,0.8560464394108593,True,0.10378316895362744,0.08786014222242244,87.28435492515564
188,0.07316222738620512,0.11229429555399141,0.8718981977882314,0.9865496706277127,1.133744901898479,True,0.14464054124324452,0.1425874616936656,22.833795070648193
189,0.07279242057491798,0.11051458852269888,0.8643896981537098,1.002503530553872,1.1484301956176433,True,0.12408087819184095,0.12254610866544469,24.523303985595703
190,0.10773667608356498,0.15830493475029972,0.8133677766046361,1.0039090456831945,1.200110092018263,True,0.15943572333567732,0.15643186425124184,233.38967490196228
191,0.0677054960198102,0.10701764196085178,0.8919820948405504,1.072524091469389,0.5839408305459036,True,0.12211433758143599,0.08803384742578287,101.34011435508728
192,0.12529651594573643,0.02462754416894476,0.7713017121171205,1.1654260179536706,0.2728381072492559,True,0.10570145043352487,0.09130201813077299,153.46300292015076
193,0.116990982583737,0.08072869182419193,0.8247740517428909,0.5406636892083165,0.4712663503975083,True,0.12543521776935676,0.10062152901132344,141.13993906974792
194,0.1111537467744553,0.07589002844918279,0.7249080713552696,1.2049022291120894,0.34150017063687155,True,0.1358124517498996,0.11017270269321627,161.7343602180481
195,0.16098994847675288,0.47069271148528913,0.527731286891719,1.3354494134520234,1.3824759331999377,True,0.10227022482364807,0.06619529020008857,265.9633700847626
196,0.10161431329456365,0.11804924655921308,0.8321894258054892,0.9112144136265269,0.8049971504515548,True,0.14062089678733738,0.1311377356959487,59.23192095756531
197,0.16290963875762024,0.45454102793246026,0.5325673305665696,1.0507472516212704,1.11254762888323,True,0.12035335075474377,0.0929073886340492,244.84424901008606
198,0.33657177196613364,0.8318485861415648,0.16289174173722704,0.24087181428337037,1.5957016466445018,True,0.12067052319756259,0.08318478439574642,299.4120168685913
199,0.06289942109296376,0.10763046251158094,0.8913695354865339,1.091006814084666,1.0775617245130462,True,0.13915808143678327,0.13550622978907853,87.39413380622864
200,0.09101844905623653,0.06694542149517611,0.7783216389371557,1.3945566272780714,0.46776057113772784,True,0.0978736144584678,0.06555928753755634,145.62020802497864
201,0.07936718505512505,0.12423979700677287,0.8504052996374898,-0.07314177764562184,9.9999953749368,True,0.1900344179596937,0.1848199032076968,83.40542888641357
202,0.07741855768700832,0.10659494328960575,0.8581156092755762,0.9531788079316729,1.2042372466953901,True,0.1390254146259453,0.13814218759158048,47.64315986633301
