rep_id,omega,gamma,beta,nu,convergence,rmse,mae,runtime
1,0.1445917100057333,0.10008434187144744,0.627462505879489,4.7552066362450605,True,0.19005382734092982,0.18079353510965726,1.1430587768554688
2,0.19538049363850882,0.09959311234699901,0.5211581098156596,5.13224783123052,True,0.17234017133048304,0.16495123662061684,1.3481671810150146
3,0.09575342180883867,0.04925072164612526,0.7602756242812087,4.917317123564462,True,0.15937269772505222,0.15563158584523598,1.2804028987884521
4,0.08197239600379291,0.05501428875272836,0.7872201769377577,5.4397707095931285,True,0.1729070727520181,0.1680802871990637,1.0778560638427734
5,0.057581439746856235,0.06721295095418384,0.8243441487919725,5.061777729545702,True,0.1880538227802959,0.1789171444250008,1.3749730587005615
6,0.1279846777907319,0.10580561313700951,0.6505499239670554,4.741876128898001,True,0.1875601655618977,0.17642192046755206,1.0145940780639648
7,0.058382517558750735,0.016209403711332605,0.8710524981259138,5.587404930014152,True,0.16952305298683,0.1655463451425821,1.826923131942749
8,0.11660697776483171,0.10065927467725115,0.6614533455366375,5.260706610925921,True,0.1541829064759328,0.1431966771592076,0.8153970241546631
9,0.07924678687015665,0.06679248868742223,0.7735396691940709,5.182150932126718,True,0.15544908180791778,0.14861816392724378,1.5390191078186035
10,0.16474526749086518,0.10474109083292023,0.5893865833033687,5.1908914505112165,True,0.19475673725791534,0.18551056453986342,1.3976240158081055
11,0.22205425677941856,0.13380489645955018,0.43370980315262186,5.312919238484729,True,0.176176572614675,0.1628118827440089,1.2926621437072754
12,0.1731613799687711,0.10636808150681609,0.5675464254792872,4.832563914892043,True,0.18978472452295392,0.18088200155765516,1.0727272033691406
13,0.10105318380161948,0.09469669337105137,0.7040042713452022,4.872071376810252,True,0.16581423785994348,0.1553127481386349,1.1207270622253418
14,0.08286970042778254,0.07105284565832637,0.7637829663605473,5.045940879656345,True,0.1606634954870635,0.15377139382835156,1.23431396484375
15,0.08221591097303252,0.06864242943308574,0.7649943580053512,5.30782999231647,True,0.1533640318692431,0.1464776412445948,1.5117700099945068
16,0.08073794433656102,0.043643027732448936,0.7915808569533165,5.591985178835253,True,0.14563309622927725,0.14173979400701103,1.1956150531768799
17,0.044097788317525796,0.042528103890042884,0.8680821805303639,4.751380469649785,True,0.15395379346201415,0.14835330798102336,1.764784812927246
18,0.0693941479875915,0.07147968548601714,0.790650898762466,4.818748370465574,True,0.16525312711195048,0.156524997891088,1.5686261653900146
19,0.06558286488002868,0.05895035493309359,0.8150176476043679,5.25149169035149,True,0.17615236375954701,0.16934954748476946,1.5005791187286377
20,0.08109798758887803,0.08984281797596674,0.7487883194492511,5.190987493578821,True,0.16606325836455818,0.15415792884884297,1.4630060195922852
21,0.18877953284722596,0.10556175996140472,0.5267192420693513,5.035257954827317,True,0.17316766473392003,0.16448004673007166,1.3077709674835205
22,0.09258582144443513,0.08235636468908808,0.7356318506574677,5.07769777476751,True,0.1689472461102632,0.1596879083904933,1.083263874053955
23,0.10346281416209684,0.06221555326969191,0.7443259085344086,4.860967579017834,True,0.18846744763234852,0.18384952899156082,1.1827120780944824
24,0.1335534530323871,0.10678422198299123,0.6335315534100041,5.246918023490338,True,0.1751592396585733,0.16412117530147355,1.1182167530059814
25,0.16665606140676092,0.10312462417300429,0.5589590273805582,5.001822491684909,True,0.15550808197264684,0.14688862038713854,1.2209620475769043
26,0.14195818673491795,0.0821499979229867,0.6570281925876594,5.237042485530555,True,0.19604356422450683,0.19010645643234933,1.0326099395751953
27,0.14114781503979265,0.05087593193910791,0.6748122946267787,5.251362673351139,True,0.16754651438135632,0.16418928347388118,0.9124627113342285
28,0.10940582064230969,0.10162113090387748,0.6788884681169856,5.197997056623713,True,0.16352740381443187,0.15083332300691937,1.1892590522766113
29,0.06806720628617682,0.06428250508332589,0.8021191716362055,4.898407423395312,True,0.16825504788368395,0.16112911085332154,1.3405671119689941
30,0.15938781260968693,0.08462044817593922,0.6038080762103218,4.8645517146117205,True,0.16933046510305774,0.1634910881972608,0.803886890411377
31,0.18980146513230117,0.09520685616151281,0.523819994674449,5.131185503140279,True,0.15738528443744648,0.1505739053398407,1.2529678344726562
32,0.11189309466883106,0.0938275929421127,0.6965210012738167,5.159747837450038,True,0.1919293139011398,0.18123787670745964,1.24570894241333
33,0.27405289388336884,0.09801283472093877,0.347317530042359,5.059867248108882,True,0.15384402577195286,0.14696665036853634,1.7071199417114258
34,0.11639776931864897,0.08398390310231262,0.6993629552195063,4.6585838186385065,True,0.19417571058765207,0.1870295093242185,1.2009921073913574
35,0.14093258536808465,0.08131421587860706,0.6489170256972024,4.715156994378606,True,0.17932780067436294,0.1736175743684907,1.2498478889465332
36,0.08513513050046563,0.08538635131586773,0.7484364093274886,5.198342397993912,True,0.17227841602014074,0.16202873877392163,1.3507819175720215
37,0.20181907416445496,0.100785750000123,0.5181378953328077,4.734699202478591,True,0.1877439064645503,0.1802974604239215,1.1730899810791016
38,0.10277320193050794,0.05899371440249578,0.7462995337440121,5.165265462028116,True,0.18073604123419895,0.17633299703921643,0.9619479179382324
39,0.04620581458612144,0.03366339798380196,0.8745387261571412,5.236973893139973,True,0.15898593904982924,0.1545573898037722,1.4048879146575928
40,0.21484554313780083,0.11254828679561715,0.4607516321042455,5.077783745571486,True,0.1650990327172011,0.15581450503544808,1.3133478164672852
41,0.13436277153524048,0.0929403958509032,0.6498353430838147,4.785905007194935,True,0.18237096995396387,0.17356764054111942,1.2524538040161133
42,0.14287704969051604,0.054146072782670564,0.6528341621986758,4.997644777211551,True,0.14577018036593056,0.142113686667459,1.1963081359863281
