rep_id,omega,gamma,beta,convergence,rmse,mae,runtime
1,0.25044145054507366,0.10265114864192869,0.4610771335163122,True,0.30555610046742515,0.22225268034090948,1.235018014907837
2,0.2749514114408337,0.018787703361849303,0.4810687134075183,True,0.2064244669308497,0.19943672863760162,1.3266990184783936
3,0.13246131915806073,0.056123231453498595,0.7078999244507597,True,0.2673231838363588,0.212818776322076,1.2074830532073975
4,0.27017330101921644,-0.01777871938004694,0.5200169888845012,True,0.2019381278992808,0.1927850321378152,1.3217799663543701
5,0.1519444995930957,0.04379062740581367,0.6856386140181179,True,0.2347835740737207,0.20971359405291695,1.0858361721038818
6,0.08776219432816074,-0.007967722487130362,0.8554894741695158,True,0.23573032556748894,0.2268408746193669,1.3407809734344482
7,0.11700397460934744,-0.007360634082118815,0.7964308845863453,True,0.2097259394294058,0.20230427599721293,0.791424036026001
8,0.4407026790036475,0.05794683487312828,0.09254689138990249,True,0.1969219712047308,0.17171577863696114,1.284175157546997
9,0.03178219193259955,0.02108262192976702,0.9189538225642535,True,0.20573914090143355,0.18173531166135787,1.2559330463409424
10,0.077444748790828,0.027581864728983583,0.8390936364690387,True,0.24606604905442211,0.22715115655302398,1.1689519882202148
11,0.475263807624134,0.12207274616038702,0.04264860033072249,True,0.3156568289399874,0.21660857612056975,1.9054186344146729
12,0.13103047806447077,0.038735699863069434,0.7304827101233586,True,0.23933256157223842,0.216980353807263,0.978029727935791
13,0.01007862862095873,0.002534473203102978,0.9784139458475346,True,0.18904674534440313,0.18213866742977688,1.4930317401885986
14,0.30508346338022785,0.014300740244928957,0.4246099723708101,True,0.20193124335269566,0.19575386981642753,1.5484869480133057
15,0.45320094588916,0.10121038299762289,0.05992599970318991,True,0.260169577525535,0.19151557950312542,1.462975263595581
16,0.18987419364092809,-0.00675072478118912,0.6398498382208715,True,0.17731050622029598,0.16953122930419778,1.3608810901641846
17,0.2685914716979538,-0.010543716700386296,0.5019083585999901,True,0.1914053830197756,0.18381591894660834,1.5649528503417969
18,0.03951255665360143,0.03387924149247376,0.8952661865867134,True,0.26071775295840394,0.2081092620610853,0.991588830947876
19,0.1253846379882294,0.037605727157451155,0.7405129396626671,True,0.23766757394207255,0.21322278198155353,1.0337600708007812
20,0.026786016865232323,0.015986884089650003,0.9344575885878471,True,0.20941633351657293,0.19122007736190544,1.0239570140838623
21,0.2927339087215315,0.10874671549958144,0.37105290463254464,True,0.30788162818420856,0.21248947325223258,1.1943800449371338
22,0.19756346951903722,0.1220630534381716,0.5370601542529589,True,0.35977447284560876,0.22362113608966377,0.9090390205383301
23,0.044846295625922586,0.0060021658379196385,0.9130742548726092,True,0.2091161673014888,0.2031039539489563,1.4561710357666016
24,0.23127276556238996,0.029927586189328993,0.5469396155793472,True,0.20781882830341586,0.1962143238797625,1.1647100448608398
25,0.4873445728416134,0.13682754103565176,-0.02178441082880454,True,0.33152074801162495,0.2033644053229451,1.7029049396514893
26,0.29497793641020603,-0.012085542670538588,0.505103599714888,True,0.23571740882982384,0.22807981028703217,1.3328709602355957
27,0.23762377150236216,0.05834810545315487,0.518392710949034,True,0.2432185159228205,0.2102758421892465,1.1635692119598389
28,0.11484341832598835,0.10024875315870646,0.6993066163582012,True,0.34422422298497307,0.21598618703439132,0.9094650745391846
29,0.011043173727994704,0.008292582204683641,0.9710467231214239,True,0.19901037426994037,0.18592475049677087,1.5837807655334473
30,0.08433872420250517,0.009215342353970212,0.8371887392682889,True,0.20680172886042042,0.2009812830631069,1.181244134902954
31,0.1212521147922763,-0.010932674993746287,0.7813538426677324,True,0.1911084577769038,0.18137070090265067,0.9756479263305664
32,0.04663181290324245,0.04535563083181656,0.8739488421745707,True,0.28842654500136344,0.22239300188287217,0.9447500705718994
33,0.005275843994365925,0.004298489407197519,0.9858610789287918,True,0.2005549129437128,0.18875755829391053,1.4218049049377441
34,0.4752956521994357,0.03868484006958538,0.12235452549709498,True,0.22964421971271984,0.21591301258437173,1.5648932456970215
35,0.4668934095155609,0.07741889349417531,0.10573858944396809,True,0.2678708263793288,0.22227547457369617,1.3964736461639404
36,0.6088692714634544,0.06760854768923018,-0.14831549496234606,True,0.2522414446684108,0.21375108875533677,1.927353858947754
37,0.4594912128031746,0.07760097035518829,0.12146112397025971,True,0.2669788960022007,0.22392343176969629,1.5475530624389648
