rep_id,omega,gamma,beta,c,convergence,rmse,mae,runtime
103,0.14065712151351217,0.41281394079566425,0.5861852024242014,0.8386907227661675,True,0.17622353904068222,0.14442758848149476,119.21531987190247
104,0.34334704992993315,0.8530023755093105,0.1437300007792987,2.5631676485434083,True,0.07610472268449238,0.05899020512926157,246.18868589401245
105,0.2824855823021964,0.28877347904477174,0.3876636003048328,1.852866043853153,True,0.10849423749496871,0.10439332375185051,273.7654678821564
106,0.06434146906655851,0.1206464540029512,0.8783491415813396,1.1868541016242282,True,0.11478036935399848,0.11209725601995066,18.030946016311646
107,0.07320148703801549,0.1158752631275198,0.8831246539721426,0.9538115122327914,True,0.1531182470278615,0.14679847507877097,40.00005602836609
108,0.16418963370478373,0.004700628027588606,0.7061052783939596,0.065393961313466,True,0.11879418539458612,0.10941121028361414,128.2743422985077
109,0.08907718055954732,0.10646702951003467,0.8413959110970748,0.6945449936852324,True,0.10872894912300143,0.08985140232035764,53.200889110565186
110,0.06926232973396158,0.11568677402633401,0.883313119609158,1.0817506831902992,True,0.1471094375285014,0.14356668105530468,16.002400159835815
111,0.14711779970053768,0.09531083875682615,0.6848571784507462,0.31081153161443376,True,0.16917648984651812,0.1410239182272059,73.57116603851318
112,0.07593119616603744,0.10544210285400157,0.8614078637672324,1.1733965240521496,True,0.13759193025052768,0.13645360925692182,23.08886194229126
113,0.11066562605297411,0.08844722764478627,0.7849620984429587,0.4725558086544682,True,0.10237183215196591,0.07525726535250418,72.67172312736511
114,0.07861833357889397,0.1181357780592247,0.8581040876861067,0.7892640098895272,True,0.1061981915791876,0.0889554790538848,41.891075134277344
115,0.20969729860166508,0.6465924976595454,0.352326428897946,1.2934342631102664,True,0.12966210738387607,0.10361511751809062,224.34503483772278
116,0.14041566534712463,0.36865042639310236,0.6303476530983314,1.0651641857745713,True,0.1004849699893155,0.07413726847601405,134.3466579914093
117,0.1254442176034194,0.05452096031177878,0.7607044649243982,1.2297233117470499,True,0.15869484471257542,0.156857560629063,31.405261993408203
118,0.10412921225732322,0.06413020920407864,0.8161116235036047,0.44381238846029136,True,0.10569003610039508,0.0805708705795928,69.9549310207367
119,0.09254716094397039,0.08179052074730658,0.8195390528900708,1.0677629339585188,True,0.12325660781856752,0.12275654176376742,25.817144870758057
120,0.07234504260869754,0.11148150801686318,0.8780284904627309,1.1271091906278514,True,0.15573602490578312,0.15357800369255564,19.681355953216553
121,0.06667950904747776,0.11492219606871348,0.884064262640015,1.1615290605008937,True,0.14422685063784763,0.1416846478678885,19.76158595085144
122,0.0690749310354181,0.1180869579372951,0.8809125868388006,1.071822834002867,True,0.13970641934208605,0.13606451276826512,25.00578808784485
123,0.18142337157472233,0.40918320799469754,0.5898167662771706,1.622035732636455,True,0.09008735976408339,0.07605921186083016,175.11822700500488
124,0.08395601048366891,0.08233590431339963,0.8485485874915726,1.1336254022014622,True,0.1530284855508379,0.15247471346761016,26.832921028137207
125,0.24172483864465,0.1201035489029123,0.5735173265789145,9.999968509665374,True,0.22346357906017608,0.21798884718132974,41.980831146240234
126,0.06948288696987198,0.11497736741230602,0.8840222287224458,1.0991616439529028,True,0.15771978787417373,0.15440838707816038,17.13202714920044
127,0.07172744884691566,0.12442174370454998,0.8745782479447761,1.6125357188581249,True,0.17418354685253484,0.1732221272764133,56.616602182388306
128,0.08979459982128214,0.08879634982165005,0.8336089304650558,1.1118890295094228,True,0.14044376347636844,0.14004559430138808,23.733916997909546
129,0.07502317267537242,0.11987655533881673,0.8731106792401351,0.7793346993216683,True,0.11332761366039054,0.09496486712240595,35.84740591049194
130,0.0675584242244733,0.11799052279769405,0.8810030964732888,1.1492375001674304,True,0.1380029788604957,0.13517983098470063,19.59528684616089
131,0.2539416523744466,0.7319361256941558,0.26656347761671917,1.4719113122027168,True,0.1260325016327091,0.09377370722192149,243.4322760105133
132,0.09927278812695106,0.04257076698694474,0.8166947641332923,1.6888362351685946,True,0.1841940290061334,0.18049060977437462,31.152074098587036
133,0.16289163079156327,0.07731032114155655,0.6894751102171273,0.48504468864169925,True,0.10796005533149368,0.08539987722919955,57.94583988189697
134,0.07525189963699208,0.10632345066104165,0.8697097396916886,1.1879355287692137,True,0.1570767553448724,0.15578689640657126,34.895251989364624
135,0.11122233318197736,0.04437384398498455,0.7778362420107652,1.18784311545331,True,0.1407231503475077,0.1381808828420572,28.66093111038208
136,0.0664073758462832,0.1157160227079925,0.8832839595875392,1.1354440718398244,True,0.1356679148188702,0.1330269499609147,42.64410710334778
137,0.06541442958221672,0.11975073173972609,0.8792488594151798,1.184740005690157,True,0.12326166662312359,0.12077556292559626,34.22997570037842
138,0.07183062024511519,0.11252928168448359,0.8838811904459022,1.1118300347866734,True,0.17136542234588684,0.16854524794892453,22.752036094665527
139,0.07476100403539238,0.1212385980616348,0.8736549779755173,0.6991985640990344,True,0.11369230648939929,0.08610039872990341,38.66739892959595
140,0.07135072775392293,0.1225220450644112,0.8764779403189618,0.8225203041370919,True,0.11187410151546695,0.09600695713966827,38.71360516548157
141,0.0798429886360154,0.14076317525967297,0.8582368133390189,0.7732889094781354,True,0.1115148924995185,0.08541846472640346,51.05242991447449
142,0.16868713761865292,0.49829001290469144,0.4988998758973475,0.9873044816775823,True,0.1595293843978209,0.12976238063262113,207.1027970314026
143,0.09555688803961185,0.08560513161752228,0.8041878200087982,0.9861212589177479,True,0.09999263357621423,0.09925197726979795,41.99014401435852
144,0.045763496299454774,0.07634659121608962,0.9209460098510538,9.99997760929662,True,0.23177251690961417,0.2268599909048385,65.2422080039978
145,0.09138434012598293,0.062466951365832815,0.8303035808612798,1.5367395896944989,True,0.17080766772429787,0.1685470880980086,28.650134086608887
146,0.43472901300939554,0.25897217788994936,0.10762934947816129,2.2620838079423367,True,0.1394761526022071,0.13452782941380517,231.312757730484
147,0.17554113186176967,0.15958815778191404,0.6806624163157997,9.999988484488368,True,0.20465374394386465,0.1993372176227761,149.79994106292725
148,0.07007522310082549,0.11801061002665456,0.8809664083930767,1.0927741377239597,True,0.1462297213863567,0.14279147850390764,19.07339119911194
149,0.066476690213503,0.11687771959604784,0.8821148990479983,1.0986305336945188,True,0.13431310534673288,0.1303602767434299,22.762102127075195
150,0.07077802691742588,0.10233467397531774,0.8916423018594248,0.7154703523509214,True,0.12844670370517,0.11165045848647467,42.042680740356445
