gamma1,distorted,axis,nu,eps,mean_loss_g2_1.0,mean_loss_g2_1.5,mean_loss_g2_2.0,mean_loss_g2_4.0
-2.0,True,eps,5.0,0.0,1.0656962401965522,1.4019001789884553,2.0409506624328446,17.24739591556789
-1.0,True,eps,5.0,0.0,0.8866109203187276,1.0508673972694893,1.3802182355563246,8.616453252945911
0.0,True,eps,5.0,0.0,0.7853524233807524,0.8756380234663054,1.087511942832522,6.018504348143472
0.5,True,eps,5.0,0.0,0.7960594922279042,0.8917144340173754,1.1114193272160386,6.189778726749022
1.0,True,eps,5.0,0.0,3.0121976690699674,7.090090684893895,18.123435432614592,1102.8368708831313
1.5,True,eps,5.0,0.0,0.7942732806693096,0.8925861011315047,1.1193728615656169,6.419281972676106
2.0,True,eps,5.0,0.0,0.05869349879618907,0.01750717662525044,0.005634713213448737,9.038493227395842e-05
-2.0,True,eps,5.0,0.01,1.4770143061467256,2.3127805615397308,3.9506457136302404,52.51779928554067
-1.0,True,eps,5.0,0.01,1.5390274495500622,2.476962833029324,4.3455822362772905,62.98391482467346
0.0,True,eps,5.0,0.01,0.7877258551412228,0.8790067114054493,1.0921508954545252,6.041620462466779
0.5,True,eps,5.0,0.01,0.9738223736155488,1.1830721354851985,1.5708429079205073,9.559253358396008
1.0,True,eps,5.0,0.01,0.8441910798718432,0.9656046431629991,1.220994317096092,6.9138524210205885
1.5,True,eps,5.0,0.01,1.1828942976699337,1.601151455981743,2.361903600989666,20.14852098737344
2.0,True,eps,5.0,0.01,0.08678660182568654,0.027329688696889894,0.008909764975661738,0.000130991817105606
-2.0,True,eps,5.0,0.02,1.8483869199287515,3.364120202529778,6.681139740477936,149.93764094824738
-1.0,True,eps,5.0,0.02,1.9764943846002527,3.785770001463811,7.90615943177425,209.96468323329216
0.0,True,eps,5.0,0.02,2.2532077114372386,4.706649051931583,10.704512956287084,384.09317784175323
0.5,True,eps,5.0,0.02,2.3779069917610127,5.161982333394763,12.212236313945155,508.1225299751459
1.0,True,eps,5.0,0.02,0.8282160537578035,0.9417461948429414,1.1884997438922191,6.86254627846004
1.5,True,eps,5.0,0.02,0.7852686507050165,0.8779634536232753,1.0962534035213645,6.251386276731292
2.0,True,eps,5.0,0.02,0.10179425227029819,0.034232278301403914,0.011849969881127959,0.00021607434537884439
-2.0,True,eps,5.0,0.03,2.1112396004106704,3.807660041471191,7.318236890499544,136.76374659118326
-1.0,True,eps,5.0,0.03,0.9397909191680673,1.1668435094704825,1.6161577559860827,12.152462167921621
0.0,True,eps,5.0,0.03,0.8037182739427892,0.9030943522317169,1.127773283122415,6.267394326737797
0.5,True,eps,5.0,0.03,1.9761204857913883,3.7232581642644846,7.850384347989059,263.900375156837
1.0,True,eps,5.0,0.03,0.9394053662647467,1.1145209040215016,1.4479859505218444,8.488237447288052
1.5,True,eps,5.0,0.03,1.2538963599284172,1.7412865355750566,2.6297915381812698,23.98041078041327
2.0,True,eps,5.0,0.03,0.11085001466188389,0.038206458877993676,0.01342856867700185,0.0002442530967342883
