date,ret
2014-09-18,-7.596298196213613
2014-09-19,-7.372113912907263
2014-09-20,3.3791608110994353
2014-09-21,-2.628728938621361
2014-09-22,0.6997785034705828
2014-09-23,7.901295899522243
2014-09-24,-3.062570377118412
2014-09-25,-2.9187448006253724
2014-09-26,-1.8842202078253045
2014-09-27,-1.3522106812527745
2014-09-28,-5.885825215825946
2014-09-29,-0.5874196021219191
2014-09-30,2.878973705546084
2014-10-01,-0.996019114050295
2014-10-02,-2.3841067376700664
2014-10-03,-4.369007630730781
2014-10-04,-9.041680397632224
2014-10-05,-2.7056488021435676
2014-10-06,2.809891167099643
2014-10-07,1.701590673668374
2014-10-08,4.731085929444667
2014-10-09,3.235087805207204
2014-10-10,-1.0854650498955287
2014-10-11,0.07166710266828247
2014-10-12,4.255605298943976
2014-10-13,2.954253493662762
2014-10-14,2.5109823922251806
2014-10-15,-1.664586171502691
2014-10-16,-3.275552580924046
2014-10-17,0.18174561842903003
2014-10-18,1.8505555805615082
2014-10-19,-0.6175018800206544
2014-10-20,-1.8671352865800905
2014-10-21,0.8117357144886483
2014-10-22,-0.9939420137478727
2014-10-23,-6.806994894953
2014-10-24,-0.15205091177428187
2014-10-25,-3.27104000033005
2014-10-26,1.9858592539092612
2014-10-27,-0.6166364178325168
2014-10-28,1.1708845169758675
2014-10-29,-6.4891873724012505
2014-10-30,2.721526565100607
2014-10-31,-2.175250253830452
2014-11-01,-3.9187697903643404
2014-11-02,-0.08807223487066196
2014-11-03,0.3767219299925628
2014-11-04,0.760995272972842
2014-11-05,2.553058938155761
2014-11-06,2.715022962614455
2014-11-07,-2.119870131969659
2014-11-08,0.761482192494789
2014-11-09,4.885230326655954
2014-11-10,0.8705278443149389
2014-11-11,0.07794065310555709
2014-11-12,14.012411154641491
2014-11-13,-0.8014036269527125
2014-11-14,-5.73281807269419
2014-11-15,-5.737143532913169
2014-11-16,2.943871669579501
2014-11-17,-0.25423967353335186
2014-11-18,-3.3344123543171733
2014-11-19,1.2857182023917169
2014-11-20,-6.286437618129792
2014-11-21,-2.1052521426820014
2014-11-22,0.45687513114183176
2014-11-23,3.9360861854380147
2014-11-24,2.3740992202283984
2014-11-25,-0.544861271719288
2014-11-26,-2.0085350407901714
2014-11-27,0.22032666992934935
2014-11-28,1.684686017180148
2014-11-29,-0.3862378173450587
2014-11-30,0.5464392229654003
2014-12-01,0.1844271772949213
2014-12-02,0.41237594313123793
2014-12-03,-1.7992724086006717
2014-12-04,-1.5840176347053259
2014-12-05,1.8106051299722203
2014-12-06,-0.6824947724524577
2014-12-07,-0.04928383283306914
2014-12-08,-3.7106171723272574
2014-12-09,-2.8459295784880823
2014-12-10,-1.8079651277868258
2014-12-11,1.05651239197746
2014-12-12,0.4472252256503495
2014-12-13,-1.6081585569948764
